#Czech language file for VLC Skin Editor
#Author/s: Jiří Pešek (loveczabijak@gmail.com)

#General strings
CHOICE_YES|Ano
CHOICE_NO|Ne
CHOICE_CANCEL|Zrušit
BUTTON_OK|OK
BUTTON_CANCEL|Ukončit
BUTTON_HELP|Pomoc

#Item names
THEME|Téma
FONT|Font
BITMAP|Bitmapa
SUBBITMAP|SubBitmapa
WINDOW|Okno
LAYOUT|Rozvržení
ANCHOR|Upevnit
BUTTON|Tlačítko
CHECKBOX|Zaškrtávací políčko
GROUP|Skupina
IMAGE|Obrázek
PANEL|Panel
PLAYTREE|Podstrom
RADIALSLIDER|Paprskovitý posuvník
SLIDER|Posuvník
SLIDERBG|Pozadí posuvníku
TEXT|Text
VIDEO|Video
UNNAMED|Nepojmenováno %t #%i

#The Menu bar and its entries
#The access key for a menu entry is defined by the MN (for Mnemonic) value
MENU_FILE|Soubor
MENU_FILE_MN|F
MENU_FILE_NEW|Nový
MENU_FILE_NEW_MN|N
MENU_FILE_OPEN|Otevřít...
MENU_FILE_OPEN_MN|O
MENU_FILE_SAVE|Uložit
MENU_FILE_SAVE_MN|S
MENU_FILE_TEST|Testovat ve VLC
MENU_FILE_TEST_MN|T
MENU_FILE_VLT|Exportovat jako VLT...
MENU_FILE_VLT_MN|V
MENU_FILE_PNG|Uložit aktuální náhled jako obrázek...
MENU_FILE_PNG_MN|p
MENU_FILE_EXIT|Konec
MENU_FILE_EXIT_MN|x
MENU_EDIT|Upravit
MENU_EDIT_MN|E
MENU_EDIT_UNDO|Zrušit
MENU_EDIT_UNDO_MN|U
MENU_EDIT_REDO|Předělat
MENU_EDIT_REDO_MN|R
MENU_EDIT_THEME|Nastavení vzhledu
MENU_EDIT_THEME_MN|S
MENU_EDIT_VARS|Globální proměnné
MENU_EDIT_VARS_MN|G
MENU_EDIT_PREFS|Předvolby
MENU_EDIT_PREFS_MN|P
MENU_EDIT_UP|Přesunout vybranou položku nahoru
MENU_EDIT_DOWN|Přesunout vybranou položku dolu
MENU_EDIT_LEFT|Přesunout vybranou položku vlevo
MENU_EDIT_RIGHT|Přesunout vybranou položku vpravo
MENU_HELP|Pomoc
MENU_HELP_MN|H
MENU_HELP_DOC|Pomoc na internetu
MENU_HELP_DOC_MN|O
MENU_HELP_ABOUT|O VLC Skin Editor
MENU_HELP_ABOUT_MN|A

#The toolbar
TOOLBAR_OPEN|Otevřít vzhled...
TOOLBAR_SAVE|Uložit úpravy vzhledu
TOOLBAR_UNDO|Zrušit
TOOLBAR_REDO|Předělat
TOOLBAR_MOVE|Nástroj na pohyb položek
