#German language file for VLC Skin Editor
#Author/s: Daniel Dreibrodt

#General strings
CHOICE_YES|Ja
CHOICE_NO|Nein
CHOICE_CANCEL|Abbrechen
BUTTON_OK|OK
BUTTON_CANCEL|Abbrechen
BUTTON_HELP|Hilfe

#Item names
THEME|Thema
FONT|Schriftart
BITMAP|Bitmap
SUBBITMAP|Teil-Bitmap
WINDOW|Fenster
LAYOUT|Layout
ANCHOR|Anker
BUTTON|Schaltfläche
CHECKBOX|Kontrollkästchen
GROUP|Gruppe
IMAGE|Bild
PANEL|Feld
PLAYTREE|Wiedergabeliste
RADIALSLIDER|RadialSlider
SLIDER|Schieberegler
SLIDERBG|Schieberegler-Hintergrund
TEXT|Text
VIDEO|Video
UNNAMED|%t #%i

#The Menu bar and its entries
#The access key for a menu entry is defined by the MN (for Mnemonic) value
MENU_FILE|Datei
MENU_FILE_MN|D
MENU_FILE_NEW|Neu
MENU_FILE_NEW_MN|N
MENU_FILE_OPEN|Öffnen...
MENU_FILE_OPEN_MN|Ö
MENU_FILE_SAVE|Speichern
MENU_FILE_SAVE_MN|S
MENU_FILE_TEST|Skin in VLC testen
MENU_FILE_TEST_MN|t
MENU_FILE_VLT|Als VLT-Datei exportieren...
MENU_FILE_VLT_MN|x
MENU_FILE_PNG|Vorschau als Bild speichern...
MENU_FILE_PNG_MN|V
MENU_FILE_EXIT|Beenden
MENU_FILE_EXIT_MN|B
MENU_EDIT|Bearbeiten
MENU_EDIT_MN|B
MENU_EDIT_UNDO|Rückgängig
MENU_EDIT_UNDO_MN|R
MENU_EDIT_REDO|Wiederholen
MENU_EDIT_REDO_MN|W
MENU_EDIT_THEME|Skin-Einstellungen
MENU_EDIT_THEME_MN|T
MENU_EDIT_VARS|Globale Variablen
MENU_EDIT_VARS_MN|G
MENU_EDIT_PREFS|Einstellungen
MENU_EDIT_PREFS_MN|E
MENU_EDIT_UP|Ausgewähltes Objekt nach oben bewegen
MENU_EDIT_DOWN|Ausgewähltes Objekt nach unten bewegen
MENU_EDIT_LEFT|Ausgewähltes Objekt nach links bewegen
MENU_EDIT_RIGHT|Ausgewähltes Objekt nach rechts bewegen
MENU_HELP|Hilfe
MENU_HELP_MN|H
MENU_HELP_DOC|Online Hilfe
MENU_HELP_DOC_MN|O
MENU_HELP_ABOUT|Über
MENU_HELP_ABOUT_MN|Ü

#The toolbar
TOOLBAR_OPEN|Skin öffnen...
TOOLBAR_SAVE|Änderungen speichern
TOOLBAR_UNDO|Rückgängig
TOOLBAR_REDO|Wiederholen
TOOLBAR_MOVE|Verschieben-Werkzeug
TOOLBAR_PATH|Slider-Bearbeitungs-Werkzeug

#Resource Window
WIN_RES_TITLE|Ressourcen
WIN_RES_ADD_BMP|Ein neues Bitmap oder SubBitmap hinzufügen
WIN_RES_ADD_FONT|Eine neue Schriftart hinzufügen
WIN_RES_COPY|Ausgewählte Ressource duplizieren
WIN_RES_EDIT|Ausgewählte Ressource bearbeiten
WIN_RES_DELETE|Ausgewählte Ressource löschen
WIN_RES_PU_ADD_BMP|Bitmap/s hinzufügen
WIN_RES_PU_ADD_SBMP|SubBitmap hinzufügen
WIN_RES_BITMAPS|Bilder
WIN_RES_FONTS|Schriftarten

#Windows window
WIN_WIN_TITLE|Fenster
WIN_WIN_ADD|Neues Fenster hinzufügen
WIN_WIN_ADD_LAY|Dem ausgewählten Fenster ein neues Layout hinzufügen
WIN_WIN_MOVE_UP|Ausgewähltes Layout in der Liste nach oben bewegen (Das letzte Layout der Liste wird beim öffnen des Skins angezeigt)
WIN_WIN_MOVE_DOWN|Ausgewähltes Layout in der Liste nach unten bewegen (Das letzte Layout der Liste wird beim öffnen des Skins angezeigt)
WIN_WIN_COPY|Ausgewähltes Layout oder Fenster duplizieren
WIN_WIN_EDIT|Ausgewähltes Layout oder Fenster bearbeiten
