#Spanish language file for VLC Skin Editor
#Author/s: Joseph S.

#General strings
CHOICE_YES|Sí
CHOICE_NO|No
CHOICE_CANCEL|Cancelar
BUTTON_OK|Aceptar
BUTTON_CANCEL|Cancelar
BUTTON_HELP|Ayuda

#Item names
THEME|Tema
FONT|Fuente
BITMAP|Bitmap
SUBBITMAP|SubBitmap
WINDOW|Ventana
LAYOUT|Estilo
ANCHOR|Ancla
BUTTON|Botón
CHECKBOX|Casilla de verificación
GROUP|Grupo
IMAGE|Imagen
PANEL|Panel
PLAYTREE|Árbol de reproducción
RADIALSLIDER|Barra de desplazamiento radial
SLIDER|Barra de desplazamiento
SLIDERBG|Fondo barra desplazamiento
TEXT|Texto
VIDEO|Video
UNNAMED|Sin nombre %t #%i

#The Menu bar and its entries
#The access key for a menu entry is defined by the MN (for Mnemonic) value
MENU_FILE|Archivo
MENU_FILE_MN|A
MENU_FILE_NEW|Nuevo
MENU_FILE_NEW_MN|N
MENU_FILE_OPEN|Abrir...
MENU_FILE_OPEN_MN|i
MENU_FILE_SAVE|Guardar
MENU_FILE_SAVE_MN|G
MENU_FILE_TEST|Probar piel en VLC
MENU_FILE_TEST_MN|P
MENU_FILE_VLT|Exportar como VLT...
MENU_FILE_VLT_MN|V
MENU_FILE_PNG|Guardar previsualización actual como imagen...
MENU_FILE_PNG_MN|p
MENU_FILE_EXIT|Salir
MENU_FILE_EXIT_MN|x
MENU_EDIT|Editar
MENU_EDIT_MN|E
MENU_EDIT_UNDO|Deshacer
MENU_EDIT_UNDO_MN|D
MENU_EDIT_REDO|Repetir
MENU_EDIT_REDO_MN|R
MENU_EDIT_THEME|Propiedades de piel
MENU_EDIT_THEME_MN|r
MENU_EDIT_VARS|Variables globales
MENU_EDIT_VARS_MN|G
MENU_EDIT_PREFS|Preferencias
MENU_EDIT_PREFS_MN|P
MENU_EDIT_UP|Subir elemento seleccionado
MENU_EDIT_DOWN|Bajar elemento seleccionado
MENU_EDIT_LEFT|Mover elemento seleccionado a la izquierda
MENU_EDIT_RIGHT|Mover elemento seleccionado a la derecha
MENU_HELP|Ayuda
MENU_HELP_MN|y
MENU_HELP_DOC|Ayuda en línea
MENU_HELP_DOC_MN|e
MENU_HELP_ABOUT|Acerca de
MENU_HELP_ABOUT_MN|A

#The toolbar
TOOLBAR_OPEN|Abrir una piel...
TOOLBAR_SAVE|Guardar modificaciones de piel
TOOLBAR_UNDO|Deshacer
TOOLBAR_REDO|Repetir
TOOLBAR_MOVE|Herramienta para mover elemento
TOOLBAR_PATH|Herramienta para editar barra de desplazamiento

#Resource Window
WIN_RES_TITLE|Recursos
WIN_RES_ADD_BMP|Añadir nuevo Bitmap o SubBitmap
WIN_RES_ADD_FONT|Añadir nueva fuente
WIN_RES_COPY|Crear copia del recurso seleccionado
WIN_RES_EDIT|Editar recurso seleccionado
WIN_RES_DELETE|Borrar recurso seleccionado
WIN_RES_PU_ADD_BMP|Añadir Bitmap(s)
WIN_RES_PU_ADD_SBMP|Añadir SubBitmap
WIN_RES_BITMAPS|Bitmaps
WIN_RES_FONTS|Fuentes

#Windows window
WIN_WIN_TITLE|Ventanas
WIN_WIN_ADD|Añadir nueva ventana
WIN_WIN_ADD_LAY|Añadir nuevo estilo a la ventana seleccionada
WIN_WIN_MOVE_UP|Subir el estilo seleccionado en jerarquía (el último estilo es el predeterminado para la ventana)
WIN_WIN_MOVE_DOWN|Bajar el estilo seleccionado en jerarquía (el último estilo es el predeterminado para la ventana)
WIN_WIN_COPY|Crear copia del estilo o ventana seleccionada
WIN_WIN_EDIT|Editar el estilo o ventana seleccionada
WIN_WIN_DELETE|Borrar el estilo o ventana seleccionada

#Items window
WIN_ITEMS_TITLE|Elementos
WIN_ITEMS_ADD|Añadir nuevo elemento
WIN_ITEMS_MOVE_UP|Subir el elemento seleccionado en jerarquía
WIN_ITEMS_MOVE_DOWN|Bajar el elemento seleccionado en jerarquía
WIN_ITEMS_COPY|Crear copia del elemento seleccionado
