#French language file for VLC Skin Editor
#Author/s: Alex64

#General strings
CHOICE_YES|Oui
CHOICE_NO|Non
CHOICE_CANCEL|Annuler
BUTTON_OK|OK
BUTTON_CANCEL|Annuler
BUTTON_HELP|Aide

#Item names
THEME|Thème
FONT|Police
BITMAP|Bitmap
SUBBITMAP|SousBitmap
WINDOW|Fenêtre
LAYOUT|Structure
ANCHOR|Ancre
BUTTON|Bouton
CHECKBOX|Case à cocher
GROUP|Groupe
IMAGE|Image
PANEL|Panneau
PLAYTREE|Ordre de lecture
RADIALSLIDER|curseur radiale
SLIDER|curseur
SLIDERBG|curseurarrière-plan
TEXT|Texte
VIDEO|Vidéo
UNNAMED|Anonyme %t #%i

#The Menu bar and its entries
#The access key for a menu entry is defined by the MN (for Mnemonic) value
MENU_FILE|Fichier
MENU_FILE_MN|F
MENU_FILE_NEW|Nouveau
MENU_FILE_NEW_MN|N
MENU_FILE_OPEN|Ouvrir
MENU_FILE_OPEN_MN|O
MENU_FILE_SAVE|Sauvegarder
MENU_FILE_SAVE_MN|S
MENU_FILE_TEST|Tester le Skin dans VLC
MENU_FILE_TEST_MN|T
MENU_FILE_VLT|Exporter le Skin en VLT...
MENU_FILE_VLT_MN|V
MENU_FILE_PNG|Sauvegarder l'aperçu actuel de l'image...
MENU_FILE_PNG_MN|p
MENU_FILE_EXIT|Quitter
MENU_FILE_EXIT_MN|q
MENU_EDIT|Edition
MENU_EDIT_MN|E
MENU_EDIT_UNDO|Annuler
MENU_EDIT_UNDO_MN|U
MENU_EDIT_REDO|Refaire
MENU_EDIT_REDO_MN|R
MENU_EDIT_THEME|Paramètres du Skin
MENU_EDIT_THEME_MN|T
MENU_EDIT_VARS|Variables globales
MENU_EDIT_VARS_MN|G
MENU_EDIT_PREFS|Préférences
MENU_EDIT_PREFS_MN|P
MENU_EDIT_UP|Déplacer l'élément vers le haut
MENU_EDIT_DOWN|Déplacer l'élément vers le bas
MENU_EDIT_LEFT|Déplacer l'élément vers la gauche
MENU_EDIT_RIGHT|Déplacer l'élément vers la droite
MENU_HELP|Aide
MENU_HELP_MN|H
MENU_HELP_DOC|Aide en ligne
MENU_HELP_DOC_MN|L
MENU_HELP_ABOUT|A propos
MENU_HELP_ABOUT_MN|A

#The toolbar
TOOLBAR_OPEN|Ouvrir...
TOOLBAR_SAVE|Sauvegarder les modifications du Skin
TOOLBAR_UNDO|Annuler
TOOLBAR_REDO|Refaire
TOOLBAR_MOVE|Outil pour déplacer les éléments
TOOLBAR_PATH|Outil pour éditer les curseurs

#Resource Window
WIN_RES_TITLE|Ressources
WIN_RES_ADD_BMP|Ajouter un nouveau Bitmap ou SousBitmap
WIN_RES_ADD_FONT|Ajouter une nouvelle Police
WIN_RES_COPY|Créer une copie de la ressource sélectionnée
WIN_RES_EDIT|Editer la ressource sélectionnée
WIN_RES_DELETE|Effacer la ressource sélectionnée
WIN_RES_PU_ADD_BMP|Ajouter un Bitmap
WIN_RES_PU_ADD_SBMP|Ajouter un SousBitmap
WIN_RES_BITMAPS|Bitmap
WIN_RES_FONTS|Polices

#Windows window
WIN_WIN_TITLE|Fenêtres
WIN_WIN_ADD|Ajouter une nouvelle fenêtre
WIN_WIN_ADD_LAY|Ajouter une nouvelle structure à la fenêtre sélectionnée
WIN_WIN_MOVE_UP|Monter la hiérachie de structure selectionnée (la dernière structure est la structure par défaut de la fenêtre)
WIN_WIN_MOVE_DOWN|Descendre la hiérarchie de la structure sélectionnée (la dernière structure est la structure par défaut de la fenêtre)
WIN_WIN_COPY|Créer une copie de la fenêtre ou de la structure sélectionnée
WIN_WIN_EDIT|Editer la fenêtre ou la structure sélectionnée
WIN_WIN_DELETE|Supprimer la fenêtre ou la structure sélectionnée

#Items window
WIN_ITEMS_TITLE|Eléments
WIN_ITEMS_ADD|Ajouter un nouvel élément
WIN_ITEMS_MOVE_UP|Monter la hiérachie de l'élément sélectionné 
WIN_ITEMS_MOVE_DOWN|Descendre la hiérachie de l'élément selectionné
WIN_ITEMS_COPY|Créer une copie de l'élément sélectionné
WIN_ITEMS_EDIT|Editer l'élément sélectionné
WIN_ITEMS_DELETE|Supprimer l'élément sélectionné
WIN_ITEMS_PU_PANEL_ADD|Ajouter au Panneau sélectionné

#Welcome dialog
WELCOME_TITLE|Bienvenue dans VLC Skin Editor
WELCOME_MSG|Que voulez-vous faire ?
WELCOME_NEW|Créer un nouveau Skin
WELCOME_OPEN|Ouvrir un Skin existant
WELCOME_QUIT|Quitter

#Preferences window
WIN_PREFS_TITLE|Préférences
WIN_PREFS_UPDATE_L|Activer l'auto-update :
WIN_PREFS_LANG_L|Langue:
WIN_PREFS_LAF_L|Apparence du programme:
WIN_PREFS_TBAR_L|Afficher la barre d'outils :
WIN_PREFS_RESTART_L|<html><i>Certaines options ne prennent effet qu'après redémarrage du programme.</i></html>

#SubBitmap Edit and Skin Preview window
WIN_SBMP_EDIT_TITLE|Edition du SousBitmap
ZOOM_FACTOR|Facteur de zoom:

#Global variables editing window
WIN_VARS_TITLE|Variables globales
WIN_VARS_NOTE|<html>Ces variables n'affectent que l'aperçu.<br>Elles simulent l'état de VLC.</html>
WIN_VARS_SLIDER|Position du curseur

#Theme options window
WIN_THEME_TITLE|Paramètres du Thème
WIN_THEME_NAME|Nom:
WIN_THEME_AUTHOR|Auteur:
WIN_THEME_EMAIL|E-Mail de l'auteur:
WIN_THEME_WEB|Site Web de l'auteur:
WIN_THEME_MAGNET|Aimant :
WIN_THEME_MAGNET_TIP|Lorsque la distance entre le bord de l'écran et le bord de cette fenêtre est plus petite que cette valeur, la fenêtre se collera au bord de l'écran.
WIN_THEME_ALPHA|Transparence:
WIN_THEME_ALPHA_TIP|Définit la transparence alpha de la fenêtre. La valeur doit être comprise entre 1 (transparence quasi-totale) et 255 (opacité totale). Les faibles valeurs doivent être évitées.
WIN_THEME_MOVEALPHA|Transparence au déplacement:
WIN_THEME_MOVEALPHA_TIP|Définit la transparence alpha des fenêtres quand elles sont déplacées.
WIN_THEME_INFO_TITLE|Informations du thème
WIN_THEME_ATTR_TITLE|Attributs du thème

#Action Editor
WIN_ACTIONS_TITLE|Modifier la séquence d'action

#Popup menu in the action editor
ACTIONS_PU|Actions
ACTIONS_DIALOGS|Afficher une boîte de dialogue
ACTIONS_PLAYLIST|Liste de lecture
ACTIONS_DVD|DVD
ACTIONS_WINDOWS|Skin
ACTIONS_VLC_PLAY|Lecture
ACTIONS_VLC_PAUSE|Pause
ACTIONS_VLC_STOP|Stop
ACTIONS_VLC_FASTER|Lire + vite
ACTIONS_VLC_SLOWER|Lire - vite
