#file libreria Linguaggio Italiano per VLC Skin Editor
#Author/s: Lorenzo Marrocchi

#General strings
CHOICE_YES|Si
CHOICE_NO|No
CHOICE_CANCEL|Annulla
BUTTON_OK|OK
BUTTON_CANCEL|Annulla
BUTTON_HELP|Aiuto

#Item names
THEME|Tema
FONT|Carattere
BITMAP|figura
SUBBITMAP|Sottofigura
WINDOW|finestra
LAYOUT|Schema
ANCHOR|Ancora
BUTTON|Bottone
CHECKBOX|controllo
GROUP|Gruppo
IMAGE|Immagine
PANEL|Pannello
PLAYTREE|Passa
RADIALSLIDER|Scorrimento Radiale
SLIDER|Scorrimento
SLIDERBG|diapositiva di sfndo
TEXT|Testo
VIDEO|Video
UNNAMED|senza nome %t #%i

#IL Menu bar e le entrate
#chiave di accsso per le entrate del menu sono definite per Memoria) valuta
MENU_FILE|File
MENU_FILE_MN|F
MENU_FILE_NEW|Nuovo
MENU_FILE_NEW_MN|N
MENU_FILE_OPEN|Apri...
MENU_FILE_OPEN_MN|A
MENU_FILE_SAVE|Salva
MENU_FILE_SAVE_MN|S
MENU_FILE_TEST|Testa lo skin in VLC
MENU_FILE_TEST_MN|T
MENU_FILE_VLT|Esporta in VLT...
MENU_FILE_VLT_MN|V
MENU_FILE_PNG|Salva l'anteprima in immagine...
MENU_FILE_PNG_MN|i
MENU_FILE_EXIT|Esci
MENU_FILE_EXIT_MN|E
MENU_EDIT|Modifica
MENU_EDIT_MN|M
MENU_EDIT_UNDO|Annulla
MENU_EDIT_UNDO_MN|A
MENU_EDIT_REDO|Ripeti
MENU_EDIT_REDO_MN|R
MENU_EDIT_THEME|Skin settaggi
MENU_EDIT_THEME_MN|S
MENU_EDIT_VARS|Variabili Globali 
MENU_EDIT_VARS_MN|V
MENU_EDIT_PREFS|Preferenze
MENU_EDIT_PREFS_MN|P
MENU_EDIT_UP|Muovi voce selezionata su
MENU_EDIT_DOWN|Muovi voce selezionata giu
MENU_EDIT_LEFT|Muovi voce selezionata a sinistra
MENU_EDIT_RIGHT|Muovi voce selezionata a destra
MENU_HELP|Aiuto
MENU_HELP_MN|A
