#Available languages
#language code|Human-readable name|language file
ca|Catalan (Incomplete) - Català|ca.txt
zh-tw|Chinese (Taiwanese Mandarin) - 國語|zh-tw.txt
cz|Czech - Čeština|cz.txt
nl|Dutch - Nederlands|nl.txt
en|English|en.txt
fr|French - Français|fr.txt
de|German - Deutsch|de.txt
ko|Korean - 한국어/조선말|ko.txt
pl|Polish - Polski|pl.txt
pt-br|Portuguese (Brasil) - Português (Brasil)|pt-br.txt
ru|Russian (Incomplete) - Русский|ru.txt
sr|Serbian (Latin) - Srpski|sr.lat.txt
sr-cyr|Serbian (Cyrillic) - Српски|sr.cyr.txt
sk|Slovak - Slovenský|sk.txt
tr|Turkish - Türkçe|tr.txt
es|Spanish - Español|es.txt
sv|Swedish (Incomplete) - Svenska|sv.txt
