#Dutch language file for VLC Skin Editor
#Author/s: Daniel Dreibrodt
#Translator: Myckel Habets

#General strings
CHOICE_YES|Ja
CHOICE_NO|Nee
CHOICE_CANCEL|Annuleren
BUTTON_OK|Ok
BUTTON_CANCEL|Annuleren
BUTTON_HELP|Help

#Item names
THEME|Thema
FONT|Lettertype
BITMAP|Bitmap
SUBBITMAP|SubBitmap
WINDOW|Venster
LAYOUT|Layout
ANCHOR|Anker
BUTTON|Knop
CHECKBOX|Selectievakje
GROUP|Groep
IMAGE|Afbeelding
PANEL|Paneel
PLAYTREE|Afspeellijst
RADIALSLIDER|Radiale schuif
SLIDER|Schuif
SLIDERBG|Schuifachtergrond
TEXT|Tekst
VIDEO|Video
UNNAMED|Naamloos %t #%i

#The Menu bar and its entries
#The access key for a menu entry is defined by the MN (for Mnemonic) value
MENU_FILE|Bestand
MENU_FILE_MN|B
MENU_FILE_NEW|Nieuw
MENU_FILE_NEW_MN|N
MENU_FILE_OPEN|Openen
MENU_FILE_OPEN_MN|O
MENU_FILE_SAVE|Opslaan
MENU_FILE_SAVE_MN|S
MENU_FILE_TEST|Test thema in VLC...
MENU_FILE_TEST_MN|T
MENU_FILE_VLT|Exporteer als VLT...
MENU_FILE_VLT_MN|V
MENU_FILE_PNG|Sla huidige voorbeeld op als afbeelding...
MENU_FILE_PNG_MN|f
MENU_FILE_EXIT|Afsluiten
MENU_FILE_EXIT_MN|A
MENU_EDIT|Bewerken
MENU_EDIT_MN|w
MENU_EDIT_UNDO|Ongedaan maken
MENU_EDIT_UNDO_MN|O
MENU_EDIT_REDO|Herhalen
MENU_EDIT_REDO_MN|H
MENU_EDIT_THEME|Thema-instellingen
MENU_EDIT_THEME_MN|T
MENU_EDIT_VARS|Globale variabelen
MENU_EDIT_VARS_MN|G
MENU_EDIT_PREFS|Voorkeuren
MENU_EDIT_PREFS_MN|V
MENU_EDIT_UP|Verplaats geselecteerde item omhoog
MENU_EDIT_DOWN|Verplaats geselecteerde item omlaag
MENU_EDIT_LEFT|Verplaats geselecteerde item naar links
MENU_EDIT_RIGHT|Verplaats geselecteerde item naar rechts
MENU_HELP|Help
