#Brazilian Portuguese language file for VLC Skin Editor
#Author/s: Sidney Doria

#General strings
CHOICE_YES|Sim
CHOICE_NO|Não
CHOICE_CANCEL|Cancelar
BUTTON_OK|OK
BUTTON_CANCEL|Cancelar
BUTTON_HELP|Ajuda

#Item names
THEME|Tema
FONT|Fonte
BITMAP|Bitmap
SUBBITMAP|SubBitmap
WINDOW|Janela
LAYOUT|Leiaute
ANCHOR|Âncora
BUTTON|Botão
CHECKBOX|Caixa de Verificação
GROUP|Grupo
IMAGE|Imagem
PANEL|Painel
PLAYTREE|Playtree
RADIALSLIDER|Barra de Rolagem Radial
SLIDER|Barra de Rolagem
SLIDERBG|Barra de Rolagem de Plano de Fundo
TEXT|Texto
VIDEO|Vídeo
UNNAMED|Sem Título %t #%i

#The Menu bar and its entries
#The access key for a menu entry is defined by the MN (for Mnemonic) value
MENU_FILE|Arquivo
MENU_FILE_MN|A
MENU_FILE_NEW|Novo
MENU_FILE_NEW_MN|N
MENU_FILE_OPEN|Abrir...
MENU_FILE_OPEN_MN|i
MENU_FILE_SAVE|Salvar
MENU_FILE_SAVE_MN|S
MENU_FILE_TEST|Testar a capa no VLC
MENU_FILE_TEST_MN|T
MENU_FILE_VLT|Exportar como VLT...
MENU_FILE_VLT_MN|V
MENU_FILE_PNG|Salvar esboço atual como imagem...
MENU_FILE_PNG_MN|p
MENU_FILE_EXIT|Fechar
MENU_FILE_EXIT_MN|x
MENU_EDIT|Editar
MENU_EDIT_MN|E
MENU_EDIT_UNDO|Desfazer
MENU_EDIT_UNDO_MN|D
MENU_EDIT_REDO|Refazer
MENU_EDIT_REDO_MN|R
MENU_EDIT_THEME|Configurações de capa
MENU_EDIT_THEME_MN|C
MENU_EDIT_VARS|Variáveis globais
MENU_EDIT_VARS_MN|V
MENU_EDIT_PREFS|Preferências
MENU_EDIT_PREFS_MN|P
MENU_EDIT_UP|Mover item selecionado para cima
MENU_EDIT_DOWN|Mover item selecionado para baixo
MENU_EDIT_LEFT|Mover item selecionado para a esquerda
MENU_EDIT_RIGHT|Mover item selecionado para a direita
MENU_HELP|Ajuda
MENU_HELP_MN|j
MENU_HELP_DOC|Ajuda on-line
MENU_HELP_DOC_MN|o
MENU_HELP_ABOUT|Sobre
MENU_HELP_ABOUT_MN|S

#The toolbar
TOOLBAR_OPEN|Abrir uma capa...
TOOLBAR_SAVE|Salvar as modificações da capa
TOOLBAR_UNDO|Desfazer
TOOLBAR_REDO|Refazer
TOOLBAR_MOVE|Ferramenta de movimentação de item
TOOLBAR_PATH|Ferramenta de edição de barra de rolagem

#Resource Window
WIN_RES_TITLE|Recursos
WIN_RES_ADD_BMP|Adicionar um novo Bitmap ou SubBitmap
WIN_RES_ADD_FONT|Adicionar uma nova Fonte
WIN_RES_COPY|Criar uma cópia da fonte selecionada
WIN_RES_EDIT|Editar o recurso selecionado
WIN_RES_DELETE|Excluir o recurso selecionado
WIN_RES_PU_ADD_BMP|Adicionar Bitmap(s)
WIN_RES_PU_ADD_SBMP|Adicionar SubBitmap
WIN_RES_BITMAPS|Bitmaps
WIN_RES_FONTS|Fontes

#Windows window
WIN_WIN_TITLE|Janelas
WIN_WIN_ADD|Adicionar uma nova janela
WIN_WIN_ADD_LAY|Adicionar um novo liaute à janela selecionada
WIN_WIN_MOVE_UP|Mover o leiaute selecionado para cima na hierarquia (o último leiaute é o leiaute padrão da janela)
WIN_WIN_MOVE_DOWN|Movee o leiaute selecionado para baixo na hierarquia (o último leiaute é o leiaute padrão da janela)
WIN_WIN_COPY|Criar uma cópia da janela selecionada ou do leiaute selecionado
WIN_WIN_EDIT|Editar a janela selecionada ou o leiaute selecionado
WIN_WIN_DELETE|Excluir a janela selecionada ou o leiaute selecionado

#Items window
WIN_ITEMS_TITLE|Itens
WIN_ITEMS_ADD|Adicionar um novo item
WIN_ITEMS_MOVE_UP|Mover o item selecionado para cima na hierarquia
WIN_ITEMS_MOVE_DOWN|Mover o item selecionado para baixo na hierarquia
WIN_ITEMS_COPY|Criar uma cópia do item selecionado
WIN_ITEMS_EDIT|Editar o item selecionado
WIN_ITEMS_DELETE|Excluir o item selecionado
WIN_ITEMS_PU_PANEL_ADD|Adicionar ao painel selecionado

#Welcome dialog
WELCOME_TITLE|Bem vindo ao editor de capas do VLC
WELCOME_MSG|O que você gostaria de fazer?
WELCOME_NEW|Criar uma nova capa
WELCOME_OPEN|Abrir uma capa existente
WELCOME_QUIT|Fechar

#Preferences window
WIN_PREFS_TITLE|Preferências
WIN_PREFS_UPDATE_L|Habilitar as atualizações automáticas:
WIN_PREFS_LANG_L|Língua:
WIN_PREFS_LAF_L|Aparência do programa:
WIN_PREFS_TBAR_L|Exibir a barra de ferramentas:
WIN_PREFS_RESTART_L|<html><i>Algumas configurações só terão efeito quando o programa for reiniciado.</i></html>

#SubBitmap Edit and Skin Preview window
WIN_SBMP_EDIT_TITLE|Editar SubBitmap
ZOOM_FACTOR|Fator de amproximação:

#Global variables editing window
WIN_VARS_TITLE|Variáveis globais
WIN_VARS_NOTE|<html>Essas variáveis afetam apenas o esboço.<br>Elas simulam um estado do VLC.</html>
WIN_VARS_SLIDER|Posição da barra de rolagem

#Theme options window
WIN_THEME_TITLE|Configurações de capa
WIN_THEME_NAME|Nome:
WIN_THEME_AUTHOR|Autor:
WIN_THEME_EMAIL|E-mail do autor:
WIN_THEME_WEB|Página Web do autor:
WIN_THEME_MAGNET|ímã:
WIN_THEME_MAGNET_TIP|Quando a distância entre a borda da tela e uma âncora de uma janela for menor que este valor, a janela será encaixada à borda
WIN_THEME_ALPHA|Opacidade:
WIN_THEME_ALPHA_TIP|Define a transparência alfa das janelas. O valor deve ser entre 1 (totalmente transparente) e 255 (totalmente opaco). Valores baixos devem ser evitados.
WIN_THEME_MOVEALPHA|Opacidade durante movimentos:
WIN_THEME_MOVEALPHA_TIP|Define a transparência alfa das janelas enquanto estão sendo movidas.
WIN_THEME_INFO_TITLE|Informações do tema
WIN_THEME_ATTR_TITLE|Atributos do tema

#Action Editor
WIN_ACTIONS_TITLE|Editar seqüência de ações

#Popup menu in the action editor
ACTIONS_PU|Ações
ACTIONS_DIALOGS|Exibir uma janela
ACTIONS_PLAYLIST|Lista de reprodução
ACTIONS_DVD|DVD
ACTIONS_WINDOWS|Capa
ACTIONS_VLC_PLAY|Reproduzir
ACTIONS_VLC_PAUSE|Pausar
ACTIONS_VLC_STOP|Parar
ACTIONS_VLC_FASTER|Reproduzir mais rápido
ACTIONS_VLC_SLOWER|Reproduzir mais devagar
ACTIONS_VLC_NEXTFRAME|vlc.nextFrame()
ACTIONS_VLC_MUTE|Sem áudio
ACTIONS_VLC_VOLUMEUP|Aumentar o volume
ACTIONS_VLC_VOLUMEDOWN|Reduzir o volume
ACTIONS_VLC_FULLSCREEN|Alternar modo de Tela Inteira
ACTIONS_VLC_SNAPSHOT|Tirar um instantâneo
ACTIONS_VLC_TOGGLERECORD|vlc.toggleRecord()
ACTIONS_VLC_ONTOP|Alternar Sempre no Topo
ACTIONS_VLC_MINIMIZE|Minimizar o VLC
ACTIONS_VLC_QUIT|Fechar o VLC
ACTIONS_EQ_ENABLE|Habilitar o Equalizador
ACTIONS_EQ_DISABLE|Desabilitar o Equalizador
ACTIONS_DIALOGS_CHANGESKIN|Modificar a capa
ACTIONS_DIALOGS_FILESIMPLE|Abrir arquivo (simplificado)
ACTIONS_DIALOGS_FILE|Abrir arquivo (com opções)
ACTIONS_DIALOGS_DIRECTORY|Abrir pasta
ACTIONS_DIALOGS_DISC|Abrir disco
ACTIONS_DIALOGS_NET|Abrir fluxo de rede
ACTIONS_DIALOGS_MESSAGES|Registro de mensagens
ACTIONS_DIALOGS_PREFS|Preferências
ACTIONS_DIALOGS_FILEINFO|Inforações do arquivo
ACTIONS_DIALOGS_PLAYLIST|Lista de reprodução em capa
ACTIONS_DIALOGS_STREAMINGWIZARD|Assistente de criação de fluxo
ACTIONS_DIALOGS_POPUP|Menu totalmente destacável
ACTIONS_DIALOGS_AUDIOPOPUP|Menu destacável de configurações de áudio
ACTIONS_DIALOGS_VIDEOPOPUP|Menu destacável de configurações de vídeo
ACTIONS_DIALOGS_MISCPOPUP|Menu destacável de outras configurações
ACTIONS_PLAYLIST_ADD|Adicionar um novo item
ACTIONS_PLAYLIST_DEL|Excluir o item selecionado
ACTIONS_PLAYLIST_NEXT|Reproduzir o próximo item
ACTIONS_PLAYLIST_PREVIOUS|Reproduzir o item anterior
ACTIONS_PLAYLIST_SETRANDOM|Reproduzir em ordem aleatória/normal
ACTIONS_PLAYLIST_SETLOOP|Repetir a lista de reprodução/reproduzir apenas uma vez
ACTIONS_PLAYLIST_SETREPEAT|Habilitar/desabilitar a repetição do item atual
ACTIONS_PLAYLIST_SORT|Ordenar em ordem alfabética
ACTIONS_PLAYLIST_LOAD|carregar de um arquivo
ACTIONS_PLAYLIST_SAVE|Gravar em um arquivo
ACTIONS_DVD_NEXTTITLE|Próximo título
ACTIONS_DVD_PREVIOUSTITLE|Título anterior
ACTIONS_DVD_NEXTCHAPTER|Próximo capítulo
ACTIONS_DVD_PREVIOUSCHAPTER|Capítulo anterior
