#Српска језичка датотека за VLC управљач маскама
#Author/s: Charmed94

#General strings
CHOICE_YES|Да
CHOICE_NO|Не
CHOICE_CANCEL|Откажи
BUTTON_OK|У реду
BUTTON_CANCEL|Откажи
BUTTON_HELP|Помоћ

#Item names
THEME|Тема
FONT|Фонт
BITMAP|Битмап
SUBBITMAP|Под-битмап
WINDOW|Прозор
LAYOUT|Изглед
ANCHOR|Сидро
BUTTON|Дугме
CHECKBOX|Кућица
GROUP|Група
IMAGE|Слика
PANEL|Панел
PLAYTREE|Playtree
RADIALSLIDER|Радијални клизач
SLIDER|Клизач
SLIDERBG|Позадина клизача
TEXT|Текст
VIDEO|Видео
UNNAMED|Неименовани план #%i

#The Menu bar and its entries
#The access key for a menu entry is defined by the MN (for Mnemonic) value
MENU_FILE|Датотека
MENU_FILE_MN|F
MENU_FILE_NEW|Ново
MENU_FILE_NEW_MN|N
MENU_FILE_OPEN|Отвори...
MENU_FILE_OPEN_MN|O
MENU_FILE_SAVE|Сачувај
MENU_FILE_SAVE_MN|S
MENU_FILE_TEST|Провери маску у VLC-у
MENU_FILE_TEST_MN|T
MENU_FILE_VLT|Извези као VLT...
MENU_FILE_VLT_MN|V
MENU_FILE_PNG|Сачувај тренутни преглед као слику...
MENU_FILE_PNG_MN|p
MENU_FILE_EXIT|Излаз
MENU_FILE_EXIT_MN|x
MENU_EDIT|Приказ
MENU_EDIT_MN|E
MENU_EDIT_UNDO|Опозови
MENU_EDIT_UNDO_MN|U
MENU_EDIT_REDO|Обнови
MENU_EDIT_REDO_MN|R
MENU_EDIT_THEME|Поставке маски
MENU_EDIT_THEME_MN|S
MENU_EDIT_VARS|Глобалне променљиве
MENU_EDIT_VARS_MN|G
MENU_EDIT_PREFS|Поставке
MENU_EDIT_PREFS_MN|P
MENU_EDIT_UP|Помери изабрану ставку нагоре
MENU_EDIT_DOWN|Помери изабрану ставку надоле
MENU_EDIT_LEFT|Помери изабрану ставку налево
MENU_EDIT_RIGHT|Помери изабрану ставку надесно
MENU_HELP|Помоћ
MENU_HELP_MN|H
MENU_HELP_DOC|Помоћ на мрежи
MENU_HELP_DOC_MN|O
MENU_HELP_ABOUT|О програму
MENU_HELP_ABOUT_MN|A

#The toolbar
TOOLBAR_OPEN|Отвори маску...
TOOLBAR_SAVE|Сачувај измене маске
TOOLBAR_UNDO|Опозови
TOOLBAR_REDO|Обнови
TOOLBAR_MOVE|Алат за померање ставки
TOOLBAR_PATH|Алат за измену клизача

#Resource Window
WIN_RES_TITLE|Извор
WIN_RES_ADD_BMP|Додај нову битмапу или под-битмапу
WIN_RES_ADD_FONT|Додај нови фонт
WIN_RES_COPY|Направи копију изабраног извора
WIN_RES_EDIT|Измени изабрани извор
WIN_RES_DELETE|Избриши изабрани извор
WIN_RES_PU_ADD_BMP|Додај битмапу
WIN_RES_PU_ADD_SBMP|Додај под-битмапу
WIN_RES_BITMAPS|Битмапи
WIN_RES_FONTS|Фонтови

#Windows window
WIN_WIN_TITLE|Прозори
WIN_WIN_ADD|Додај нови прозор
WIN_WIN_ADD_LAY|Додај нови план за изабрани прозор
WIN_WIN_MOVE_UP|Помери изабрани план на редослед (последњи план је подразумеван за прозор)
WIN_WIN_MOVE_DOWN|Помери изабрани план под редослед (последњи план је подразумеван за прозор)
WIN_WIN_COPY|Направи копију изабраног прозора или плана
WIN_WIN_EDIT|Измени изабрани прозор или план
WIN_WIN_DELETE|Избриши изабрани прозор или план

#Items window
WIN_ITEMS_TITLE|Ставке
WIN_ITEMS_ADD|Додај нову ставку
