#Turkish language file for VLC Skin Editor
#Author/s: Kaya Zeren

#General strings
CHOICE_YES|Evet
CHOICE_NO|Hayır
CHOICE_CANCEL|İptal
BUTTON_OK|Tamam
BUTTON_CANCEL|İptal
BUTTON_HELP|Yardım

#Item names
THEME|Tema
FONT|Yazı Tipi
BITMAP|Bitmap
SUBBITMAP|SubBitmap
WINDOW|Pencere
LAYOUT|Yerleşim
ANCHOR|Çapa
BUTTON|Düğme
CHECKBOX|Checkbox
GROUP|Grup
IMAGE|Resim
PANEL|Panel
PLAYTREE|Oyun ağacı
RADIALSLIDER|Radyal kaydırıcı
SLIDER|Kaydırıcı
SLIDERBG|KaydırıcıArtAlanı
TEXT|Metin
VIDEO|Görüntü
UNNAMED|Adsız %t #%i

#The Menu bar and its entries
#The access key for a menu entry is defined by the MN (for Mnemonic) value
MENU_FILE|Dosya
MENU_FILE_MN|D
MENU_FILE_NEW|Yeni
MENU_FILE_NEW_MN|Y
MENU_FILE_OPEN|Aç...
MENU_FILE_OPEN_MN|A
MENU_FILE_SAVE|Kaydet
MENU_FILE_SAVE_MN|K
MENU_FILE_TEST|Temayı VLC ile sına
MENU_FILE_TEST_MN|T
MENU_FILE_VLT|VLT olarak ver...
MENU_FILE_VLT_MN|V
MENU_FILE_PNG|Ön izlemeyi resim olarak kaydet...
MENU_FILE_PNG_MN|p
MENU_FILE_EXIT|Çıkış
MENU_FILE_EXIT_MN|k
MENU_EDIT|Düzelt
MENU_EDIT_MN|D
MENU_EDIT_UNDO|Geri Al
MENU_EDIT_UNDO_MN|G
MENU_EDIT_REDO|Yinele
MENU_EDIT_REDO_MN|Y
MENU_EDIT_THEME|Tema ayarları
MENU_EDIT_THEME_MN|T
MENU_EDIT_VARS|Genel değişkenler
MENU_EDIT_VARS_MN|G
MENU_EDIT_PREFS|Seçenekler
MENU_EDIT_PREFS_MN|S
MENU_EDIT_UP|Seçili ögeyi yukarı kaydır
MENU_EDIT_DOWN|Seçili ögeyi aşağı kaydır
MENU_EDIT_LEFT|Seçili ögeyi sola kaydır
MENU_EDIT_RIGHT|Seçili ögeyi sağa kaydır
MENU_HELP|Yardım
MENU_HELP_MN|Y
MENU_HELP_DOC|Çevrim içi yardım
MENU_HELP_DOC_MN|O
MENU_HELP_ABOUT|Hakkında
MENU_HELP_ABOUT_MN|H

#The toolbar
TOOLBAR_OPEN|Bir tema aç...
TOOLBAR_SAVE|Tema değişikliklerini kaydet
TOOLBAR_UNDO|Geri al
TOOLBAR_REDO|Yinele
TOOLBAR_MOVE|Öge kaydırma aracı
TOOLBAR_PATH|Kaydırıcı düzenleme aracı

#Resource Window
WIN_RES_TITLE|Kaynaklar
WIN_RES_ADD_BMP|Yeni bir Bitmap ya da SubBitmap ekle
WIN_RES_ADD_FONT|Yeni bir yazı tipi ekle
WIN_RES_COPY|Seçili kaynağın kopyasını oluştur
WIN_RES_EDIT|Seçili kaynağı düzenle
WIN_RES_DELETE|Seçili kaynağı sil
WIN_RES_PU_ADD_BMP|Bitmap ekle
WIN_RES_PU_ADD_SBMP|SubBitmap ekle
WIN_RES_BITMAPS|Bitmap dosyaları
WIN_RES_FONTS|Yazı tipleri

#Windows window
WIN_WIN_TITLE|Pencereler
WIN_WIN_ADD|Yeni pencere ekle
WIN_WIN_ADD_LAY|Seçili pencereye yeni katman ekle
WIN_WIN_MOVE_UP|Seçili katmanı sıralamada öne al (penceredeki son katman varsayılan katmandır)
WIN_WIN_MOVE_DOWN|Seçili katmanı sıralamada arkaya al (penceredeki son katman varsayılan katmandır)
WIN_WIN_COPY|Seçili pencere ya da katmanın bir kopyasını oluştur
WIN_WIN_EDIT|Seçili pencere ya da katmanı düzenle
WIN_WIN_DELETE|Seçili pencere ya da katmanı sil

#Items window
WIN_ITEMS_TITLE|Ögeler
WIN_ITEMS_ADD|Yeni öge ekle
WIN_ITEMS_MOVE_UP|Seçili ögeyi sıralamada öne al
WIN_ITEMS_MOVE_DOWN|Seçili ögeyi sıralamada arkaya al
